,,"  M.V ""AL BAZM II""    O F F I C I A L     R O B  2025",,,,,,,,,,,,,,
,,EOSP,5-Jul-2025,,8.30,12.0,263.2,,Arrival .KP,24.3,118.0,9.8,6.5,5.3/1.2 ,40%,122.4
,,FAOP,6-Jul-2025,,14.12,,256.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,7-Jul-2025,,3.30,13.3,248.9,,Arrival .KP,29.6,122.0,9.2,7.3,5.5/1.3 ,45%,122.8
,,FAOP,7-Jul-2025,,19.42,,245.4,,Out to Sea ( KP → RWS  ),,,,,,,
,,EOSP,8-Jul-2025,,8.00,12.3,238.7,,Arrival .RWS,23.9,123.0,10.0,6.7,5.5/1.2 ,42%,123.0
,,FAOP,10-Jul-2025,,13.12,,229.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,11-Jul-2025,,2.12,13.0,222.2,,Arrival .KP,28.9,120.0,9.2,7.0,5.7/1.3 ,44%,122.3
,,FAOP,12-Jul-2025,,4.30,,215.6,,Out to Sea (kp → RWS  ),,,,,,,
,,EOSP,12-Jul-2025,,16.12,11.7,209.4,,Arrival .RWS,16.5,124.0,10.6,6.2,5.0/1.2 ,40%,123.0
,,FAOP,13-Jul-2025,,12.42,,204.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,14-Jul-2025,,2.42,14.0,196.5,,Arrival .KP,30.9,126.0,9.0,8.0,6.2/1.5 ,41%,122.8
,,FAOP,16-Jul-2025,,10.30,,180.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,16-Jul-2025,,23.42,13.2,173.3,,Arrival .KP,27.0,126.0,9.5,7.2,5.9/1.3 ,41%,122.0
,,FAOP,18-Jul-2025,,23.18,,158.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,19-Jul-2025,,12.00,12.7,152.7,,Arrival .KP,24.1,119.0,9.4,6.2,4.9/1.3 ,38%,116.0
,,FAOP,20-Jul-2025,,17.42,,148.2,,Out to Sea ( KP →RWS  ),,,,,,,
,,EOSP,21-Jul-2025,,6.18,12.6,142.2,,Arrival .RWS,21.0,123.0,9.8,6.0,5.0/1.0 ,35%,116.0
,,FAOP,22-Jul-2025,,21.42,,133.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,23-Jul-2025,,9.42,12.0,127.0,,Arrival .KP,22.9,120.0,10.0,6.6,5.4/1.2 ,41%,122.0
,,FAOP,24-Jul-2025,,1.00,,123.6,,Out to Sea ( KP → RWS  ),,,,,,,
,,EOSP,24-Jul-2025,,13.18,12.3,117.0,,Arrival RWS,18.0,121.0,9.8,6.6,5.5/1.1 ,45%,120.0
,,FAOP,25-Jul-2025,,14.48,,111.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,26-Jul-2025,,4.18,13.5,103.9,,Arrival .KP,31.4,118.0,8.7,7.2,5.8/1.4 ,44%,120.0
,,FAOP,27-Jul-2025,,9.12,,97.4,,Out to Sea (KP→ RWS  ),,,,,,,
,,EOSP,27-Jul-2025,,21.12,12.0,90.3,,Arrival .RWS,19.0,122.0,10.2,7.1,5.9/1.2 ,46%,121.5
,,FAOP,28-Jul-2025,,19.00,,84.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,29-Jul-2025,,9.42,14.7,76.8,,Arrival .KP,29.0,120.0,8.2,7.5,6.0/1.5,40%,117.0
,,FAOP,30-Jul-2025,,17.00,,564.9,,Out to Sea ( KP →RWS  ),,,,,,,
,,EOSP,31-Jul-2025,,5.42,12.7,558.0,,Arrival .RWS,22.8,121.0,9.5,6.9,5.5/1.4 ,39%,116.0
,,FAOP,1-Aug-2025,,23.00,,548.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,2-Aug-2025,,12.00,13.0,541.1,,Arrival .KP,27.6,117.0,9.0,7.2,5.8/1.4 ,40%,117.0
,,,,,,,,,,,,,,,,
,,FAOP,3-Aug-2025,,11.18,,536.2,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,3-Aug-2025,,23.48,12.5,529.1,,Arrival .RWS,18.6,131.0,10.5,7.1,5.8/1.3 ,39%,121.6
,,FAOP,5-Aug-2025,,0.30,,522.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,5-Aug-2025,,13.06,12.6,514.9,,Arrival .KP,25.0,113.0,9.0,7.5,6.2/1.3 ,40%,123.0
,,,,,,,,,,,,,,,,
,,FAOP,6-Aug-2025,,7.42,,510.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,6-Aug-2025,,19.42,12.0,504.3,,Arrival .RWS,22.0,127.0,10.6,6.5,5.2/1.3 ,41%,123.4
,,FAOP,7-Aug-2025,,21.00,,497.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,8-Aug-2025,,10.18,13.3,490.7,,Arrival .KP,27.0,121.0,9.1,6.7,5.2/1.5 ,42%,117.7
,,FAOP,9-Aug-2025,,13.12,,485.0,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,10-Aug-2025,,1.42,12.5,477.5,,Arrival .RWS,25.4,121.0,9.7,7.5,6.2/1.3 ,40%,122.2
,,FAOP,11-Aug-2025,,21.00,,467.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,12-Aug-2025,,10.00,13.0,459.2,,Arrival .KP,27.5,122.0,9.4,7.9,6.2/1.4 ,43%,121.9
,,,,,,,,,,,,,,,,
,,FAOP,13-Aug-2025,,2.18,,455.4,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,13-Aug-2025,,14.42,12.4,448.5,,Arrival .RWS,22.9,122.0,9.8,6.9,5.5/1.4 ,37%,122.0
,,FAOP,17-Aug-2025,,9.12,,429.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,17-Aug-2025,,22.00,12.8,422.0,,Arrival .KP,27.0,119.0,9.3,7.0,5.7/1.3 ,41%,122.0
,,,,,,,,,,,,,,,,
,,FAOP,19-Aug-2025,,4.12,,416.1,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,19-Aug-2025,,17.00,12.8,409.1,,Arrival .RWS,18.7,133.0,10.4,7.0,5.6/1.4 ,43%,122.0
,,FAOP,20-Aug-2025,,21.00,,402.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,21-Aug-2025,,10.30,13.5,395.4,,Arrival .KP,27.2,123.0,9.1,6.9,5.3/1.6 ,40%,117.0
,,,,,,,,,,,,,,,,
,,FAOP,22-Aug-2025,,7.48,,390.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,22-Aug-2025,,20.00,12.2,383.4,,Arrival .RWS,20.0,124.0,10.2,7.4,6/1.4 ,38%,122.0
,,FAOP,23-Aug-2025,,18.42,,376.7,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,24-Aug-2025,,7.30,12.8,369.1,,Arrival .KP,26.2,117.0,9.1,7.6,6.1/1.5 ,41%,116.7
,,,,,,,,,,,,,,,,
,,FAOP,25-Aug-2025,,2.42,,364.4,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,25-Aug-2025,,15.48,13.1,355.4,,Arrival .RWS,20.0,133.0,10.2,9.0,7.6/1.4 ,43%,123.5
,,FAOP,26-Aug-2025,,10.48,,349.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,26-Aug-2025,,23.30,12.7,341.1,,Arrival .KP,28.0,122.0,9.6,8.2,6.8/1.4 ,44%,125.0
,,,,,,,,,,,,,,,,
,,FAOP,27-Aug-2025,,15.48,,337.1,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,28-Aug-2025,,4.36,12.8,330.1,,Arrival .RWS,20.0,127.0,9.9,7.0,5.5/1.5 ,40%,116.0
,,FAOP,29-Aug-2025,,2.30,,323.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,29-Aug-2025,,15.42,13.2,314.7,,Arrival .KP,25.0,126.0,9.5,8.5,7.1/1.4 ,48%,122.7
,,,,,,,,,,,,,,,,
,,FAOP,30-Aug-2025,,11.00,,310.4,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,30-Aug-2025,,23.54,12.9,302.3,,Arrival .RWS,21.0,130.0,10.1,8.1,6.7/1.4 ,48%,122.0
,,FAOP,2-Sep-2025,,10.54,,288.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,2-Sep-2025,,23.06,,280.4,,Arrival .KP,29.0,115.0,9.3,7.8,6.5/1.3 ,45%,122.0
,,FAOP,4-Sep-2025,,6.00,,273.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,4-Sep-2025,,18.30,12.5,265.8,,Arrival .RWS,17.0,134.0,10.7,8.0,6.7/1.3 ,40%,134.0
,,FAOP,5-Sep-2025,,23.00,,258.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,6-Sep-2025,,12.00,13.0,250.4,,Arrival .KP,24.0,124.0,9.5,7.9,6.5/1.4 ,45%,120.0
,,,,,,,,,,,,,,,,
,,FAOP,7-Sep-2025,,1.30,,247.1,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,7-Sep-2025,,14.54,13.4,238.7,,Arrival .RWS,23.9,133.0,9.9,8.4,7.0/1.4 ,40%,122.0
,,FAOP,8-Sep-2025,,11.19,,232.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,9-Sep-2025,,0.24,13.1,225.0,,Arrival .KP,27.0,123.0,9.4,7.3,5.8/1.5 ,45%,122.0
,,,,,,,,,,,,,,,,
,,FAOP,9-Sep-2025,,21.18,,219.5,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,10-Sep-2025,,9.24,12.1,212.0,,Arrival .RWS,20.5,125.0,10.3,7.5,6.2/1.3 ,38%,122.5
,,FAOP,12-Sep-2025,,5.42,,200.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,13-Sep-2025,,18.30,36.8,192.7,,Arrival .KP,28.0,120.0,3.3,7.9,6.5/1.4 ,40%,122.0
,,,,,,,,,,,,,,,,
,,FAOP,13-Sep-2025,,12.48,,188.2,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,14-Sep-2025,,1.12,12.4,181.0,,Arrival .RWS,21.2,126.0,10.2,7.2,5.8/1.4 ,39%,121.6
,,FAOP,16-Sep-2025,,2.30,,168.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,16-Sep-2025,,15.42,13.2,159.9,,Arrival .KP,25.0,126.0,9.5,8.8,7.3/1.5,45%,122.5
,,,,,,,,,,,,,,,,
,,FAOP,17-Sep-2025,,7.30,,155.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,17-Sep-2025,,19.30,12.0,147.4,,Arrival .RWS,20.0,131.0,10.9,8.4,7.1/1.3 ,50%,130.0
,,FAOP,18-Sep-2025,,20.24,,140.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,19-Sep-2025,,9.00,12.6,133.3,,Arrival .KP,24.8,121.0,9.6,6.9,5.5/1.4 ,41%,120.4
,,,,,,,,,,,,,,,,
,,FAOP,20-Sep-2025,,7.12,,127.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,20-Sep-2025,,19.12,12.0,120.3,,Arrival .RWS,20.0,127.0,10.6,7.5,6.2/1.3 ,38%,122.5
,,FAOP,22-Sep-2025,,1.00,,111.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,22-Sep-2025,,13.48,12.8,104.0,,Arrival .KP,25.0,120.0,9.4,7.4,6.5/0.9 ,41%,120.0
,,,,,,,,,,,,,,,,
,,FAOP,23-Sep-2025,,4.18,,100.5,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,23-Sep-2025,,16.48,12.5,93.3,,Arrival .RWS,20.0,129.0,10.3,7.2,5.8/1.4 ,38%,122.7
,,FAOP,25-Sep-2025,,20.00,,80.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,26-Sep-2025,,9.18,13.3,72.5,,Arrival .KP,28.5,124.0,9.3,7.6,6.2/1.4 ,41%,122.8
,,,,,,,,,,,,,,,,
,,FAOP,26-Sep-2025,,1.30,,68.0,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,26-Sep-2025,,13.30,12.0,61.2,,Arrival .RWS,23.0,127.0,10.6,6.8,5.3/1.7 ,39%,122.0
,,FAOP,28-Sep-2025,,20.06,,52.8,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,29-Sep-2025,,8.36,12.5,45.6,,Arrival .KP,25.2,122.0,9.8,7.2,5.7/1.5 ,42%,122.8
,,,,,,,,,,,,,,,,
,,FAOP,30-Sep-2025,,8.30,,339.2,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,30-Sep-2025,,21.06,12.6,332.0,,Arrival .RWS,23.0,126.0,10.0,7.2,5.7/1.5 ,38%,122.2
,,FAOP,2-Oct-2025,,4.00,,323.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,2-Oct-2025,,17.00,13.0,316.2,,Arrival .KP,28.0,123.0,9.5,7.4,6.0/1.4 ,44%,125.7
,,,,,,,,,,,,,,,,
,,FAOP,3-Oct-2025,,21.48,,309.9,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,4-Oct-2025,,10.30,12.7,302.6,,Arrival .RWS,23.6,126.0,9.9,7.3,6.0/1.3 ,42%,122.4
,,FAOP,5-Oct-2025,,7.12,,296.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,5-Oct-2025,,20.30,13.3,288.6,,Arrival .KP,29.0,123.0,9.2,7.6,6.2/1.4 ,46%,122.5
,,FAOP,6-Jan-2025,,9.42,,284.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,6-Oct-2025,,21.54,12.2,278.0,,Arrival .RWS,19.0,127.0,10.4,6.8,5.6/1.2 ,42%,122.0
,,FAOP,8-Oct-2025,,16.30,,268.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,9-Oct-2025,,5.42,13.2,260.7,,Arrival .KP,28.0,122.0,9.2,7.3,5.9/1.4,40%,120.9
,,FAOP,9-Oct-2025,,23.42,,256.4,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,10-Oct-2025,,12.24,12.7,249.1,,Arrival .RWS,22.0,134.0,10.6,7.3,6.0/1.3 ,42%,122.4
,,FAOP,11-Oct-2025,,9.12,,242.7,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,11-Oct-2025,,22.54,13.7,235.0,,Arrival .KP,27.0,129.0,9.4,7.7,6.3/1.4 ,44%,122.0
,,FAOP,12-Oct-2025,,13.24,,231.2,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,13-Oct-2025,,1.18,11.9,224.5,,Arrival .RWS,20.5,123.0,10.3,6.7,5.9/1.5 ,42%,122.5
,,FAOP,14-Oct-2025,,18.18,,214.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,15-Oct-2025,,7.00,12.7,207.6,,Arrival .KP,26.2,122.0,9.6,7.3,6.0/1.3 ,44%,122.7
,,FAOP,16-Oct-2025,,20.30,,200.0,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,17-Oct-2025,,9.30,13.0,192.7,,Arrival .RWS,20.9,133.0,10.2,7.3,5.9/1.4 ,42%,121.8
,,FAOP,18-Oct-2025,,8.12,,186.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,18-Oct-2025,,21.12,13.0,178.7,,Arrival .KP,27.0,122.0,9.4,7.4,6.0/1.4 ,44%,122.0
,,FAOP,19-Oct-2025,,15.00,,174.7,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,20-Oct-2025,,3.36,12.6,167.5,,Arrival .RWS,21.8,128.0,10.2,7.2,5.8/1.4 ,42%,122.4
,,FAOP,21-Oct-2025,,18.30,,158.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,22-Oct-2025,,7.18,12.8,151.0,,Arrival .KP,25.7,123.0,9.6,7.4,6.0/1.4 ,44%,123.0
,,FAOP,22-Oct-2025,,21.30,,147.5,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,23-Oct-2025,,9.42,12.2,140.7,,Arrival .RWS,19.3,127.0,10.4,6.8,5.5/1.3 ,42%,127.0
,,FAOP,24-Oct-2025,,4.30,,135.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,24-Oct-2025,,18.30,14.0,127.5,,Arrival .KP,30.0,126.0,9.0,7.8,6.3/1.5 ,45%,122.0
,,FAOP,25-Oct-2025,,17.48,,122.1,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,26-Oct-2025,,6.30,12.7,115.0,,Arrival .RWS,22.0,128.0,10.1,7.1,5.8/1.3 ,42%,121.7
,,FAOP,27-Oct-2025,,6.48,,108.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,27-Oct-2025,,20.00,13.2,100.3,,Arrival .KP,30.0,119.0,9.0,7.8,6.4/1.4 ,46%,121.8
,,FAOP,28-Oct-2025,,19.30,,94.5,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,29-Oct-2025,,8.06,12.6,87.1,,Arrival .RWS,22.8,126.0,10.0,7.4,6.1/1.3 ,44%,122.1
,,FAOP,30-Oct-2025,,4.18,,80.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,30-Oct-2025,,17.36,13.3,72.6,,Arrival .KP,28.0,124.0,9.3,7.9,6.5/1.4 ,46%,122.5
,,FAOP,31-Oct-2025,,18.30,,548.3,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,1-Nov-2025,,6.12,11.7,541.1,,Arrival .RWS,21.7,119.0,10.2,7.2,6.0/1.2 ,45%,122.4
,,FAOP,2-Nov-2025,,6.30,,533.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,2-Nov-2025,,19.00,12.5,526.4,,Arrival .KP,28.0,116.0,9.3,7.5,6.0/1.5 ,46%,122.0
,,FAOP,3-Nov-2025,,17.00,,520.8,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,4-Nov-2025,,6.00,13.0,513.2,,Arrival .RWS,23.9,128.0,9.8,7.6,6.3/1.3 ,44%,122.0
,,FAOP,5-Nov-2025,,0.30,,507.0,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,5-Nov-2025,,14.00,13.5,498.7,,Arrival .KP,33.0,121.4,9.0,8.3,6.8/1.5 ,50%,125.5
,,FAOP,6-Nov-2025,,7.00,,494.4,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,6-Nov-2025,,19.00,12.0,487.2,,Arrival .RWS,21.0,126.0,10.5,7.2,5.9/1.3 ,42%,122.0
,,FAOP,9-Nov-2025,,2.30,,474.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,9-Nov-2025,,15.30,13.0,466.4,,Arrival .KP,30.0,120.0,9.2,7.9,6.5/1.5 ,50%,125.1
,,FAOP,10-Nov-2025,,10.00,,461.4,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,10-Nov-2025,,21.30,11.5,454.2,,Arrival .RWS,20.0,120.0,10.4,7.2,5.9/1.3 ,42%,123.0
,,FAOP,11-Nov-2025,,21.00,,446.6,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,12-Nov-2025,,10.00,13.0,438.9,,Arrival .KP,26.3,124.0,9.5,7.7,6.3/1.4 ,46%,121.9
,,FAOP,13-Nov-2025,,8.00,,433.2,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,13-Nov-2025,,20.30,12.5,425.3,,Arrival .RWS,21.0,125.0,10.0,7.9,6.4/1.5 ,42%,121.0
,,FAOP,14-Nov-2025,,19.30,,417.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,15-Nov-2025,,7.30,12.0,410.4,,Arrival .KP,26.8,116.0,9.7,7.5,6.2/1.3 ,46%,124.3
,,FAOP,16-Nov-2025,,13.30,,403.3,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,17-Nov-2025,,1.30,12.0,396.2,,Arrival .RWS,22.2,121.0,10.1,7.1,5.8/1.3 ,42%,122.1
,,FAOP,18-Nov-2025,,16.30,,386.5,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,19-Nov-2025,,5.30,13.0,378.7,,Arrival .KP,27.3,122.0,9.4,7.8,6.3/1.5 ,46%,121.5
,,FAOP,20-Nov-2025,,3.30,,373.6,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,20-Nov-2025,,16.00,12.5,366.2,,Arrival .RWS,23.0,124.0,9.9,7.4,6.1/1.3 ,42%,122.0
,,FAOP,21-Nov-2025,,14.00,,359.3,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,22-Nov-2025,,1.30,11.5,352.4,,Arrival .KP,25.7,111.0,9.7,6.9,5.7/1.2 ,47%,122.4
,,FAOP,22-Nov-2025,,21.30,,347.6,,Out to Sea (KP  → RWS ),,,,,,,
,,EOSP,23-Nov-2025,,10.00,12.5,340.1,,Arrival .RWS,21.5,127.0,10.2,7.5,6.1/1.4 ,42%,121.9
,,FAOP,24-Nov-2025,,22.00,,331.2,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,25-Nov-2025,,11.00,13.0,323.5,,Arrival .KP,28.4,120.0,9.2,7.7,6.2/1.5,47%,121.6
